graph,strategy,b,mean_salvados,std_salvados,mean_quemados,mean_protegidos,mean_salvados_pct,std_salvados_pct,mean_turns,mean_elapsed_ms,n_replicas,median_salvados_pct,frac_above_50pct
BA,aleatoria_strategy,10,56.04,5.090930735884723,543.96,56.04,9.34,0.8484884559807868,500.0,16.03,100,9.166666666666666,1.0
BA,bfs_strategy,10,594.49,43.21136564854347,5.51,594.49,99.08166666666666,7.201894274757217,500.0,25.4,100,99.83333333333333,1.0
BA,cercania_strategy,10,589.29,68.23108314449286,10.71,589.29,98.215,11.37184719074881,500.0,245.94,100,99.83333333333333,1.0
BA,dfs_strategy,10,198.68,131.03942501816357,401.32,198.68,33.11333333333333,21.83990416969393,500.0,71.87,100,27.083333333333336,1.0
WS,grado_strategy,1,13.32,1.5883413621851825,586.68,13.32,2.2199999999999998,0.2647235603641973,500.0,29.36,100,2.166666666666667,1.0
WS,aleatoria_strategy,1,12.4,1.271283452327457,587.6,12.4,2.066666666666666,0.21188057538790936,500.0,19.48,100,2.0,1.0
WS,bfs_strategy,1,23.47,56.77751279860676,576.53,22.64,3.91166666666667,9.462918799767799,500.0,30.37,100,2.666666666666667,1.0
WS,cercania_strategy,1,12.94,1.509699281046368,587.06,12.94,2.1566666666666663,0.2516165468410614,500.0,11416.62,100,2.166666666666667,1.0
WS,dfs_strategy,1,13.48,1.9616525706864623,586.52,13.48,2.2466666666666666,0.32694209511441047,500.0,66.82,100,2.166666666666667,1.0
WS,grado_strategy,3,47.03,7.986674508014565,552.97,47.03,7.838333333333334,1.3311124180024274,500.0,15.42,100,7.666666666666666,1.0
WS,aleatoria_strategy,3,37.38,3.75991618217344,562.62,37.38,6.230000000000001,0.6266526970289068,500.0,15.8,100,6.166666666666667,1.0
WS,bfs_strategy,3,570.72,112.47617750017338,29.28,570.72,95.12000000000003,18.746029583362233,500.0,29.35,100,99.66666666666667,1.0
WS,cercania_strategy,3,498.14,213.89679471155912,101.86,498.14,83.02333333333341,35.64946578525981,500.0,1994.28,100,99.66666666666667,1.0
WS,dfs_strategy,3,39.56,5.677031519085204,560.44,39.56,6.593333333333335,0.9461719198475341,500.0,66.34,100,6.5,1.0
WS,grado_strategy,5,96.0,23.532912692609468,504.0,96.0,15.999999999999998,3.9221521154349106,500.0,14.87,100,15.333333333333332,1.0
WS,aleatoria_strategy,5,62.51,6.373073089653107,537.49,62.51,10.418333333333337,1.0621788482755177,500.0,14.76,100,10.333333333333334,1.0
WS,bfs_strategy,5,598.89,0.649708559371979,1.11,598.89,99.81500000000001,0.10828475989532917,500.0,26.59,100,99.83333333333333,1.0
WS,cercania_strategy,5,598.89,0.649708559371979,1.11,598.89,99.81500000000001,0.10828475989532917,500.0,34.62,100,99.83333333333333,1.0
WS,dfs_strategy,5,64.97,9.130319122173509,535.03,64.97,10.828333333333337,1.521719853695585,500.0,66.22,100,10.5,1.0
WS,grado_strategy,10,255.42,65.02853763595417,344.58,255.42,42.56999999999999,10.83808960599236,500.0,13.81,100,40.91666666666667,1.0
WS,aleatoria_strategy,10,128.74,15.168161764470057,471.26,128.74,21.456666666666663,2.528026960745009,500.0,15.79,100,21.0,1.0
WS,bfs_strategy,10,599.0,0.0,1.0,599.0,99.83333333333334,1.4282446375932695e-14,500.0,24.36,100,99.83333333333333,1.0
WS,cercania_strategy,10,599.0,0.0,1.0,599.0,99.83333333333334,1.4282446375932695e-14,500.0,30.92,100,99.83333333333333,1.0
WS,dfs_strategy,10,131.8,50.96324680838658,468.2,131.8,21.966666666666665,8.493874468064428,500.0,64.79,100,20.583333333333336,1.0
